Title,Cardtext,Actioncost,Manacost,Attack,Health,Requirements,
Dimension Door,Teleport to target unoccupied space within (Spaces)*5 meters,1,3,,,Spaces 5,
Vista Strike,"Choose target. Until your next turn, you make make melee attacks as though you were next to that target.",1,2,,,Spaces 7,
Vista's Shield,"For each card/ability that targets you, counter it unless its controller pays (2)",0,1,,,Spaces 4,
Deflecting Bend,Quick. Change a target from you to another valid target.,1,2,,,Spaces 6,
Beserk Influence,"I share your space. Gain +1 to Strength, Quickness and Constitution. You may not gain block or dodge.",,,,,,
Spirit of Poison,Being within 5 meters of me gives you a poison counter. This ability only activates once per turn. I gain 1 Dodge at the end of your turn.,1,2,1 (Poison),3.,Spirits 7,
Mascot Spirit,"When you summon another spirit, return me to your hand from exhaustion",0,1,1,3,Spirits 4,
Haste,You have +3 Quickness. Exhaust.,1,3,,,"Forces 7, Spaces 7",
Adrenaline Booster,Gain +1 Strength and Quickness. Exhaust.,2,2,,,Medicine 5/Light 6,
Dark Offering,Sacrifice a summon. Gain 1 Willpower.,1,2,,,Dark 5/Metamagic 5,
Wring out,"Reveal the top card of your draw pile. If it's a spell, cast it without paying its costs; you lose 1 life for every point of mana in its cost.",2,1,,,Metamagic 6,
Foresight.,Scry 2. Gain (Intuition) Block.,1,1,,,Spaces 4,
Banishment,Destroy target summon,1,3,,,Spirits 5/Metamagic 5,
Deja Vu,"You may cast spells as though they have quick. If you cast a non-quick spell this way, it costs <1> more and has Exhaust.",3,3,,,Spaces 9,
Life for a Life,"As an additional cost to cast this spell, sacrifice a summon. Deal 30 damage to any target.",2,4,,,Dark 8,
Headshot,Make a ranged attack for double damage,2,0,,,Firearms 4,
True Name.,Gain control of target summon,2,3,,,Academics 8/Spirits 6,
Sidhe Archer,I gain 1 dodge at the end of your turn.,1,3,3 (ranged),5,Spirits 6,
Queen of Summer,Moving within 5 meters of me causes enemies to take 10 damage. This ability triggers once per turn per enemy. I gain 1 dodge at the end of your turn.,4,4,10,10,Spirits 10,
Queen of Winter,Enemies ending their turn within 5 feet of me lose 5 life.,4,4,5,10 (5 armor),Spirits 10,
Turn back time,Take another turn after this one. End your turn. Exhaust.,2,3,,,Spaces 8,
Earthen Influence,"I occupy your space Whenever you gain block, I gain that much block. If you would take unblocked damage, redirect that damage to me",1,2,0,2,Spirits 6/Spaces 4,
